community_area,community_area_name,area_km2,n_bus_stops,n_rail_stations,bus_stops_per_km2,rail_stations_per_km2,bus_access_z,rail_access_z,weekday_departures,departures_per_km2,freq_access_z,transit_access,transit_access_z,transit_deficit
19,BELMONT CRAGIN,10.128559056783937,247,0.0,24.386489590003784,0.0,0.8633391871224996,-0.545045543464273,49275,4864.956577115127,0.20813396534532275,0.17547586966784978,0.1926024297229306,-0.1926024297229306
20,HERMOSA,3.0266642714657515,51,0.0,16.85023359901815,0.0,-0.2520666145873935,-0.545045543464273,11400,3766.52280448641,-0.20660772064536684,-0.3345732928990111,-0.36722786588678025,0.36722786588678025
21,AVONDALE,5.132936209681947,120,1.0,23.37843197303938,0.19482026644199482,0.7141413207330258,-0.15471452896528876,29551,5757.133693627389,0.5449981903218424,0.3681416606965265,0.404072528414297,-0.404072528414297
22,LOGAN SQUARE,9.28885488195372,224,3.0,24.11492082142274,0.32296768957262595,0.823145571035038,0.10203449714746744,46899,5048.953891088861,0.27760684401747077,0.40092897073332545,0.4400599014309957,-0.4400599014309957
23,HUMBOLDT PARK,9.328244684562781,199,0.0,21.333059619386177,0.0,0.41141537927739,-0.545045543464273,49208,5275.161797742487,0.36301740852099007,0.07646241477803568,0.08392519664731088,-0.08392519664731088
24,WEST TOWN,11.84219402813617,287,4.0,24.235373894238634,0.3377752459127336,0.8409732637797297,0.13170209074048803,67468,5697.255072810078,0.5223894898508644,0.498354948123694,0.5469947181612659,-0.5469947181612659
25,AUSTIN,18.498319925243212,400,5.0,21.6235853643201,0.27029481705400127,0.4544147282688519,-0.003497930983626751,90553,4895.201313738195,0.21955363703784195,0.2234901447743557,0.24530292959452402,-0.24530292959452402
26,WEST GARFIELD PARK,3.350730606758929,70,2.0,20.890966244436196,0.5968847498410342,0.3459832182803983,0.650839434004387,16506,4926.089840438055,0.23121638809347497,0.40934634679275345,0.44929881891866036,-0.44929881891866036
27,EAST GARFIELD PARK,5.002269903132384,136,4.0,27.187657330292758,0.7996369803027281,1.2779268487966995,1.0570624889944482,28739,5745.191794230026,0.5404892216307753,0.958492853140641,1.0520423847243936,-1.0520423847243936
28,NEAR WEST SIDE,14.713428325045436,357,10.0,24.263549739275163,0.679651253200985,0.8451434380757481,0.8166657816068935,88328,6003.22358927366,0.6379157068520864,0.7665749755115762,0.8413931962713423,-0.8413931962713423
29,NORTH LAWNDALE,8.307642494482545,198,4.0,23.833476239679324,0.4814843684783702,0.7814902822932657,0.41962966946857216,41512,4996.844776068526,0.2579317186184252,0.486350556793421,0.5338186903579452,-0.5338186903579452
30,SOUTH LAWNDALE,11.882815954581714,183,1.0,15.400390000102611,0.08415513661258257,-0.4666511461819528,-0.37643700776518996,40996,3450.0239805694355,-0.32610992379709536,-0.3897326925814127,-0.4277708591826571,0.4277708591826571
31,LOWER WEST SIDE,7.570662206224309,153,4.0,20.20959274529634,0.5283553658901005,0.24513633157949055,0.5135377843912416,31680,4184.574497849596,-0.04876164156699173,0.2366374914679135,0.2597334659547773,-0.2597334659547773
32,LOOP,4.3014234480601194,153,16.0,35.56962057967132,3.719698884148635,2.518501803954666,6.9075355744902325,89873,20893.781113443143,6.26022547809659,5.22875428551383,5.739084135729818,-5.739084135729818
