month,pickup_community_area,n_trips
2023-05-01,49,48321
2023-05-01,50,12336
2023-05-01,51,14358
2023-05-01,52,4186
2023-05-01,53,25406
2023-05-01,54,9032
2023-05-01,55,3480
2023-05-01,56,110037
2023-05-01,57,13843
2023-05-01,58,26588
2023-05-01,59,14979
2023-05-01,60,32223
2023-05-01,61,32767
2023-05-01,62,10365
2023-05-01,63,19186
2023-05-01,64,11433
2023-05-01,65,18061
2023-05-01,66,38648
2023-05-01,67,33019
2023-05-01,68,38620
2023-05-01,69,52030
2023-05-01,70,24941
2023-05-01,71,55839
2023-05-01,72,11197
2023-05-01,73,27961
2023-05-01,74,5699
2023-05-01,75,20123
2023-05-01,76,337544
2023-05-01,77,96530
2023-06-01,1,79545
2023-06-01,2,59711
2023-06-01,3,136290
2023-06-01,4,66158
2023-06-01,5,66367
2023-06-01,6,426345
2023-06-01,7,312489
2023-06-01,8,1011168
2023-06-01,9,6884
2023-06-01,10,24472
2023-06-01,11,21938
2023-06-01,12,10010
2023-06-01,13,15247
2023-06-01,14,43092
2023-06-01,15,45780
2023-06-01,16,62996
2023-06-01,17,21127
2023-06-01,18,9456
2023-06-01,19,55612
2023-06-01,20,17203
2023-06-01,21,63609
2023-06-01,22,201113
2023-06-01,23,55695
2023-06-01,24,325576
2023-06-01,25,101435
2023-06-01,26,23645
2023-06-01,27,33333
2023-06-01,28,531215
2023-06-01,29,53316
2023-06-01,30,40889
2023-06-01,31,72658
2023-06-01,32,573094
2023-06-01,33,170313
2023-06-01,34,35504
2023-06-01,35,40978
2023-06-01,36,9083
2023-06-01,37,6157
2023-06-01,38,40312
2023-06-01,39,30331
2023-06-01,40,21925
2023-06-01,41,106845
2023-06-01,42,46217
2023-06-01,43,65083
2023-06-01,44,49016
2023-06-01,45,10630
2023-06-01,46,23291
2023-06-01,47,3729
2023-06-01,48,11677
2023-06-01,49,45069
2023-06-01,50,11969
2023-06-01,51,13299
2023-06-01,52,4048
2023-06-01,53,24146
2023-06-01,54,7910
2023-06-01,55,3345
2023-06-01,56,109366
2023-06-01,57,13218
2023-06-01,58,25105
2023-06-01,59,14037
2023-06-01,60,31248
